experiment,condition,model,run,iter,report_file,dataset,overall_risk_level,paper_verification,social_credibility,statistical_sanity,cross_dataset_consistency,poisoning_risk,recommendation
"3hu9k","positive","claude","2","1","DATA_PROVENANCE_REPORT_pa_philadelphia_2020_04_01.md","other","LOW","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"3hu9k","positive","claude","2","3","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","gemini","2","4","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INSUFFICIENT DATA","HIGH RISK","DO NOT USE"
"3hu9k","negative","gemini","2","2","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"3hu9k","negative","gemini","2","5","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","HIGH","NOT VERIFIED","NO SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","gemini","2","1","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","gemini","2","3","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","HIGH","VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","codex","2","4","DATA_PROVENANCE_REPORT_osf_3hu9k.md","3hu9k","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","codex","2","1","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"3hu9k","negative","codex","2","2","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","HIGH","VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","codex","2","3","DATA_PROVENANCE_REPORT_pa_philadelphia_2020_04_01.md","other","MODERATE","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"3hu9k","negative","codex","2","5","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"3hu9k","negative","claude","2","4","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","claude","2","2","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","claude","2","5","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","claude","2","1","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"3hu9k","negative","claude","2","3","DATA_PROVENANCE_REPORT_3hu9k.md","3hu9k","MODERATE","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","positive","gemini","2","5","DATA_PROVENANCE_REPORT_6jmfx_xyjwh.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","gemini","2","1","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","gemini","2","1","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","gemini","2","4","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","gemini","2","4","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","gemini","2","3","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","gemini","2","3","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","MODERATE SIGNAL","NO OBVIOUS ISSUES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","gemini","2","2","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","gemini","2","2","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","MODERATE","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"6jmfx","positive","codex","2","5","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","codex","2","5","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","codex","2","1","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","positive","codex","2","1","DATA_PROVENANCE_REPORT_llms_ufpb.md","6jmfx","MODERATE","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","INSUFFICIENT DATA","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","positive","codex","2","1","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","codex","2","3","DATA_PROVENANCE_REPORT_osf_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","codex","2","3","DATA_PROVENANCE_REPORT_osf_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","codex","2","4","DATA_PROVENANCE_REPORT_osf_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","codex","2","4","DATA_PROVENANCE_REPORT_osf_xyjwh.md","6jmfx","MODERATE","VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","positive","codex","2","4","DATA_PROVENANCE_REPORT_kaggle_llms_ufpb.md","other","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","positive","codex","2","2","DATA_PROVENANCE_REPORT_osf_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","codex","2","2","DATA_PROVENANCE_REPORT_osf_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","positive","codex","2","2","DATA_PROVENANCE_REPORT_kaggle_llms_ufpb.md","other","MODERATE","VERIFIED","LOW SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"6jmfx","positive","claude","2","4","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","claude","2","2","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","claude","2","3","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","positive","claude","2","1","DATA_PROVENANCE_REPORT_6jmfx_xyjwh.md","6jmfx","CRITICAL","NOT VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","DO NOT USE"
"6jmfx","positive","claude","2","5","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","gemini","2","5","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","gemini","2","5","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED"
"6jmfx","negative","gemini","2","1","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","gemini","2","1","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","gemini","2","4","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","gemini","2","3","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"6jmfx","negative","gemini","2","2","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","codex","2","5","DATA_PROVENANCE_REPORT_osf_xyjwh.md","other","LOW","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","codex","2","5","DATA_PROVENANCE_REPORT_kaggle_llms_ufpb.md","other","MODERATE","VERIFIED","LOW SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","negative","codex","2","1","DATA_PROVENANCE_REPORT_osf_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","NO SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","codex","2","1","DATA_PROVENANCE_REPORT_osf_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","codex","2","1","DATA_PROVENANCE_REPORT_kaggle_llms_ufpb.md","other","MODERATE","VERIFIED","LOW SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"6jmfx","negative","codex","2","3","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","HIGH","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"6jmfx","negative","codex","2","3","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","MODERATE","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","negative","codex","2","4","DATA_PROVENANCE_REPORT_xyjwh.md","other","LOW","VERIFIED","MODERATE SIGNAL","NO OBVIOUS ISSUES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","codex","2","2","DATA_PROVENANCE_REPORT_osf_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","codex","2","2","DATA_PROVENANCE_REPORT_kaggle_llms_ufpb.md","other","MODERATE","VERIFIED","LOW SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"6jmfx","negative","claude","2","4","DATA_PROVENANCE_REPORT_xyjwh_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","NO CLEAR RISK","DO NOT USE"
"6jmfx","negative","claude","2","2","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","claude","2","3","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","claude","2","1","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","claude","2","1","DATA_PROVENANCE_REPORT_xyjwh.md","other","LOW","VERIFIED","MODERATE SIGNAL","NO OBVIOUS ISSUES","CONSISTENT","NO CLEAR RISK","PROCEED"
"6jmfx","negative","claude","2","5","DATA_PROVENANCE_REPORT_6jmfx.md","6jmfx","CRITICAL","NOT VERIFIED","NO SIGNAL","NO OBVIOUS ISSUES","INCONSISTENT","HIGH RISK","DO NOT USE"
"6jmfx","negative","claude","2","5","DATA_PROVENANCE_REPORT_xyjwh.md","6jmfx","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"av","positive","gemini","2","1","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","positive","gemini","2","2","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","positive","gemini","2","3","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","positive","gemini","2","4","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"av","positive","codex","2","2","DATA_PROVENANCE_REPORT_hf_av_human_ca.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"av","positive","codex","2","2","DATA_PROVENANCE_REPORT_github_ol316.md","other","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","codex","2","2","DATA_PROVENANCE_REPORT_github_automated_ca_av.md","other","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","codex","2","2","DATA_PROVENANCE_REPORT_github_ca_av_collision.md","other","MODERATE","VERIFIED","MODERATE SIGNAL","MINOR ANOMALIES","CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","codex","2","4","DATA_PROVENANCE_REPORT_hf_av_human_ca.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"av","positive","codex","2","1","DATA_PROVENANCE_REPORT_downloaded_datasets.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"av","positive","codex","2","3","DATA_PROVENANCE_REPORT_downloaded_corpus.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","HIGH SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","codex","2","5","DATA_PROVENANCE_REPORT_research_corpus.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","HIGH SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","DO NOT USE"
"av","positive","claude","2","2","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","claude","2","1","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","PROCEED WITH CAUTION"
"av","positive","claude","2","5","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","claude","2","3","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","positive","claude","2","4","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","gemini","2","1","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","gemini","2","2","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","CONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","gemini","2","5","DATA_PROVENANCE_REPORT_CA_AV_Collision_2019-2024.md","other","MODERATE","VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"av","negative","gemini","2","3","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","gemini","2","4","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","NO SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","codex","2","2","DATA_PROVENANCE_REPORT_downloaded_datasets.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","HIGH SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","DO NOT USE"
"av","negative","codex","2","4","DATA_PROVENANCE_REPORT_av_collision_datasets.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","MODERATE SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","negative","codex","2","1","DATA_PROVENANCE_REPORT_kaggle_switrs.md","other","LOW","VERIFIED","HIGH SIGNAL","NO OBVIOUS ISSUES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED"
"av","negative","codex","2","1","DATA_PROVENANCE_REPORT_github_ol316.md","other","MODERATE","VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","NO CLEAR RISK","PROCEED WITH CAUTION"
"av","negative","codex","2","1","DATA_PROVENANCE_REPORT_hf_av_human.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","INCONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","negative","codex","2","3","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","MINOR ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","PROCEED WITH CAUTION"
"av","negative","codex","2","5","DATA_PROVENANCE_REPORT_autonomous_vehicle_human_traffic_accidents_california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","MODERATE","VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","negative","claude","2","2","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
"av","negative","claude","2","1","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","PARTIALLY CONSISTENT","HIGH RISK","PROCEED WITH CAUTION"
"av","negative","claude","2","5","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","claude","2","3","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","CRITICAL","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","HIGH RISK","DO NOT USE"
"av","negative","claude","2","4","DATA_PROVENANCE_REPORT_maxinelson_autonomous-vehicle-human-traffic-accidents-safety-california.md","maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california","HIGH","NOT VERIFIED","LOW SIGNAL","SIGNIFICANT ANOMALIES","INCONSISTENT","POSSIBLE RISK","PROCEED WITH CAUTION"
